index,推荐课程名称,老师（博主）名称,推荐课程对应领域,平台及链接,推荐人ID,推荐理由,推荐日期
0,《0基础乐理教程（35小时+）》,B站ID：乐球网, ,[B站](https://www.bilibili.com/video/BV14x411s7KZ),逍遥,入门级教程，轻松愉快的课堂,2021-01-19 00:00:00
1,《3D-max软件详细教程（73小时+）》,B站ID：CAD室内设计, ,[B站](https://www.bilibili.com/video/BV14Q4y1T7XH),逍遥,非常3Dmax软件操作教程，以及灯光、材质、渲染等理论原理知识,2021-01-19 00:00:00
2,《5分钟教你做视觉小说／galgame》,凉宫春日应援团, ,[B站](https://www.bilibili.com/video/BV1gZ4y1K7Y9),烟雨休,推荐推荐，支持支持，up手把手教学，无偿提供软件工具,2021-02-07 00:00:00
3,《7分钟学会日语声调》,喵宝日语, ,[B站](https://www.bilibili.com/video/BV1Nx411C7fc),烟雨休,适合日本语入门，漫画讲解，速记日本语声调，记忆方法很简单，只是up普通话怪怪的，一定要坚持听完弄懂啊,2021-02-07 00:00:00
4,《AE软件详细教程（66小时+）》,B站ID：教AE的李老师, ,[B站](https://www.bilibili.com/video/BV1Vt411d7or),逍遥,全网最推荐的一套AE软件教程,2021-01-19 00:00:00
5,《AI软件详细教程（11小时+）》,B站ID：柴大丰老师, ,[B站](https://www.bilibili.com/video/BV1ox411f7tA),逍遥,适合想往平面设计方向的朋友学习，配合CDR更佳,2021-01-19 00:00:00
6,《C4D软件基础详细教程（9小时+）》,B站ID：辉辉讲设计, ,[B站](https://www.bilibili.com/video/BV1zx411976G),逍遥,逐步讲解C4D软件操作，内容详细,2021-01-19 00:00:00
7,《C4D软件进阶教程（16小时+）》,B站ID：李翔SCU, ,[B站](https://www.bilibili.com/video/BV177411P7d1),逍遥,共计10个设计案例，会基础的可忽略基础讲解部分，重在设计方面,2021-01-19 00:00:00
8,《CAD软件详细教程（291小时+）》,B站ID：达内官方账号, ,[B站](https://www.bilibili.com/video/BV1df4y1C7om),逍遥,不只是CAD，还有相关的PS、AI、3Dmax等软件基础教程，以及CAD行业相关知识,2021-01-19 00:00:00
9,《CDR软件详细教程（16小时+）》,B站ID：昊哥5705, ,[B站](https://www.bilibili.com/video/BV1AJ411x7uf),逍遥,内容详细、适合0基础，还附带广告设计类知识,2021-01-19 00:00:00
10,《Davinci教程》,影视飓风, ,[B站](https://www.bilibili.com/video/BV1B7411A7M1),TrueheartViana,达芬奇系列教程，系统讲述剪辑流程，还有素材可以练手,2021-02-08 00:00:00
11,《IT必听大佬(菜鸡敢这样去名字？)》,Frank_fuckppt, ,B站,Sobriety,通俗易懂，打破传统教学，重视思维提升，up本身十分优秀,2021-01-17 00:00:00
12,《Java/C/Unity等系列教程》, , ,[B站](https://space.bilibili.com/6708009), ,一个b站up的半收费软件和编程教学，可看的视频中有部分隐藏，去up的网站可以收费观看,2021-02-24 00:00:00
13,《JavaSE》,动力节点, ,[B站](https://www.bilibili.com/video/BV1Rx411876f),我想吃肉,适合零基础的小白，老师讲的很基础,2021-02-07 00:00:00
14,《JavaSE编程》,尚硅谷, ,[B站](https://www.bilibili.com/video/BV1Kb411W75N),十六夜净土,非常好的Java入门教程，适合新手小白,2021-01-16 00:00:00
15,《JavaSE编程》,尚硅谷, ,[B站](https://www.bilibili.com/video/BV1Kb411W75N),十六夜净土,非常好的Java入门教程，适合新手小白,2021-01-16 00:00:00
16,《Lr教程 （上）》,秋凉, ,[B站](https://www.bilibili.com/video/BV17s411K7VX),海不咸但甜,老师讲得很细致很耐心，不但知其然，更知其所以然。虽然一开始会觉得老师讲的没什么用，但是老师是在帮我们一点点地打好基础。而且老师讲得很好，绝对的深入浅出！,2021-02-08 00:00:00
17,《Lr教程 （下）》, , ,[B站](https://www.bilibili.com/video/BV1Ab411E7sq), ,老师讲得很细致很耐心，不但知其然，更知其所以然。虽然一开始会觉得老师讲的没什么用，但是老师是在帮我们一点点地打好基础。而且老师讲得很好，绝对的深入浅出！, 
18,《PS、PR、AE、AI、AU等多种软件系统性基础教学。》,OEASY, ,[B站](https://space.bilibili.com/2884629),弱水无音,UP是中国传媒大学的老师吧，讲的比较仔细，很有上课的氛围，哈哈。老师自己的兴趣挺广泛的，里面有很多软件的基础课程，很适合自学。老师也有给素材，方便练习,2021-01-20 00:00:00
19,《Pr软件详细教程（7小时+）》,B站ID：贝塔珐, ,B站,逍遥,适合0基础完全不会的入门,2021-01-19 00:00:00
20,《Studio One 4软件详细教程（2小时+）》,B站ID：莱音喵STUDIO, ,[B站](https://www.bilibili.com/video/BV15t411C7Qr),逍遥,Studio One教程，混音调音专用,2021-01-19 00:00:00
21,《VRay3.0教程 | 材质 | 灯光 | 渲染》,琅泽老高, ,[其他](https://www.langze.net/course/3),无纹西瓜,从原理上进行解析的系统vray教程，系统系统系统，重要的事情说三遍,2020-02-07 00:00:00
22,《java全栈》, , ,[B站](https://www.kuangstudy.com/), ,B站up主所建网站，帮你把学习的顺序都处理好了，学就是了,2021-03-01 00:00:00
23,《mindmanager使用教程》,檀东东Tango, ,[B站](https://space.bilibili.com/14739873/channel/detail), , ,2021-08-15 00:00:00
24,《ps、pr、ae等》,doyoudo, ,B站,浅淡cccc, ,2021-02-08 00:00:00
25,《python》,凸头统治地球, ,[B站](https://www.bilibili.com/video/BV1m54y1r7zE),放酱啊噗啊噗,绝对是最棒的python入门课程！,2021-01-26 00:00:00
26,《python基础、办公自动化、网络爬虫》,B站ID:孙兴华zz, ,[B站](https://www.bilibili.com/video/BV1HE41157bu),客服爹,从python入门到应用很全的,2021-02-08 00:00:00
27,《【哈佛大学公开课】幸福课（积极心理学）【心理学】》,TalBen Shahar, ,其他,杨絮不吃苦瓜,我最近不太快乐，甚至有点痛苦，这一套课程把我从糟糕的情绪困境里拉出来了。它确实让我变得更加幸福。我愿意称呼它为人生必看的课程。,2021-02-07 00:00:00
28,《【钢琴】哈农钢琴练指法课程》, , ,[其他](https://www.bilibili.com/video/BV1FU4y1s7Lm), ,老师讲得巨细致，从零基础开始，学习钢琴必听！, 
29,《【钢琴】拜厄钢琴基本教程》, , ,[其他](https://www.bilibili.com/video/BV1Yr4y1A7N9), ,老师讲得巨细致，从零基础开始，学习钢琴必听！, 
30,《一个分享高效工具与思维的博主》,topbook, ,B站,余慕雪, ,2020-02-09 00:00:00
31,《专业化妆造型师培训（持续更新中）》,专业化妆师培训, ,[B站](https://space.bilibili.com/1100529315),神奇的柯老师,持续更新完整的化妆师专业课程，适合从零基础开始或以上的各种人群入门,2021-02-24 00:00:00
32,《中国古代历史文献研究讲座》,李董男, ,[B站](https://www.bilibili.com/video/BV1cQ4y1T7zD),远志学,没有集合散版，蛮不错,2021-01-19 00:00:00
33,《书法》,香矢车菊, ,B站,不系之舟,从工具到方法，很详细，附赠字帖资源,2021-01-17 00:00:00
34,《了解音乐（非专业学习）》,孤山聊艺术, ,[其他](http://xima.tv/AnIOt4?_sonic=0), ,了解、感受、热爱音乐（开始收费了，但免费部分完全够听）, 
35,《佛教哲学》,闲者知无涯, ,[其他](http://xima.tv/POlER7?_sonic=0),真永,严谨的学术路线 系统的佛教哲学 脱离宗教的束缚 看到另一种独特的世界观,2021-01-22 00:00:00
36,《做手工（里面折玫瑰花超好看）》,Lucy工艺坊, ,B站,努力腌自己的盐巴罐子, ,2021-01-27 00:00:00
37,《像素画头像制作教程》,蓝雾月夜, ,[B站](https://www.bilibili.com/video/BV1r7411Z7rT),烟雨休,做头像可以的，做好萌萌哒，羡煞朋友圈，我做了个半成品，实在太懒啊哈哈，有蓝牙鼠标可以连手机，或者开模拟器，鼠标好用,2021-02-07 00:00:00
38,《初学日语》,研习社饼干老师, ,[B站](https://www.bilibili.com/video/BV1C54y1x7ap),动漫男主百鬼,日语自学，目前我也在学,2021-02-02 00:00:00
39,《初学日语》,B站：一数儿, ,[B站](https://space.bilibili.com/512049732),炒鸡无敌粉碎机,2020的，难以置信视频质量极高，通俗易懂多方位贯通，学渣拯救者，开局一张白板知识全靠写,2021-02-04 00:00:00
40,《各种软件教学网站》,网站：我要自学网, ,其他,炽雁,汇聚各类软件的视频教程（eg：CAD 3Dmax PS等软件），类别清晰，分类齐全，质量总体不错，个别课程需要付费,2021-01-20 00:00:00
41,《尤克里里自学入门弹唱教学》,趣弹音乐尤克里里, ,[B站](https://www.bilibili.com/video/BV1Kx41147iq),巫术的分类,过于简单易学，没别的理由了。免费的弹唱和指弹课程,2021-02-08 00:00:00
42,《建筑CAD（AutoCAD2014）》, , ,其他, ,讲的基本功能和很多知识点，十分详细，零基础可以学，主要讲机械制图，但土建也可以听, 
43,《影视制作/影视视频相关》,影视飓风, ,B站,好奇的小雷同学,一系列达芬奇教程、影视制作科普、干货超多,2021-01-18 00:00:00
44,《影视后期、nuke》,吕馆长LvGuan, ,[B站](https://www.bilibili.com/video/BV1cf4y1X7zG),悠二二,少有的nuke课程,2021-02-09 00:00:00
45,《微信公众号推文编辑＋排版教程》,CYY-yyyy, ,[B站](https://www.bilibili.com/video/BV1Gx41197Bt),烟雨休,社团企划部入职第二天竟被要求做公众号推文，那天全靠它救命,2021-02-07 00:00:00
46,《心理学》,TalBen Shahar, ,其他,djksks, ,2021-01-31 00:00:00
47,《恋爱情感》,晨哥真有料, ,[B站](https://www.bilibili.com/video/BV1rv411e7o9),傻李娃,如何恋爱,2021-02-08 00:00:00
48,《搜索引擎技巧》,蜡笔和小勋, ,[B站](https://www.bilibili.com/video/BV1YK4y1t7bg),烟雨休,八个技巧助你快速查资料，社工必备？？？？？,2021-02-07 00:00:00
49,《新标日本语初级精讲》,葉子先生酱, ,[B站](https://www.bilibili.com/video/BV1es41127PE),烟雨休,小葉老师活泼可爱，讲解细致，气氛活跃,2021-02-07 00:00:00
50,《日本概况》,老魏的日语角, ,[B站](https://www.bilibili.com/video/BV1Ra4y1t7xE),放酱啊噗啊噗, ,2021-01-26 00:00:00
51,《日语听力一文四听》,芥末日语, ,[B站](https://www.bilibili.com/video/BV1go4y1d7gb),linhanghao,听力练习方式很棒！常更新,2021-01-31 00:00:00
