index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
0,《C++》,, ,[B站](https://www.bilibili.com/video/BV1et411b73Z),-XXAY-,生信,粗细程度比较合适,2021-01-16 00:00:00
1,《python》,大西瓜老师, ,[B站](https://www.bilibili.com/video/BV1ex411x7Em),-XXAY-,生信,可以说对新手是十分友好了 不能再友好了 十分适合入门,2021-01-16 00:00:00
2,《微观经济学》,KHAN, ,[网易公开课](http://open.163.com/newview/movie/free?pid=M8LHSGLJP&mid=M8LI5BDCP),L回L,国际经济与贸易,一边学专业知识还可以一边学英语。,2021-01-16 00:00:00
3,《概率论与统计学》,洪永淼, ,[其他](https://probability.xmu.edu.cn/),阿强爱吹风,金融,对进一步学习（高级）计量经济学很有帮助。,2021-01-22 00:00:00
4,《流体力学》,赵汉中教授, ,无,青山不老asdf, ,,2021-08-23 00:00:00
5,《耶鲁大学人性的哲学与科学》,B站up农夫cc, ,无,青山不老asdf, ,,2021-08-23 00:00:00
6,《1》,1,1,无,lucheese,1,,2021-12-24 17:47:57
7,《PCB》,凡亿教育,AD2020 PCB画图,[B站](https://space.bilibili.com/11979252),嘟嘟噜1999,电子信息工程,老师讲的纯小白可以学，老师用的是AD2020，入门AD十分好,2021-02-08 00:00:00
8,《C++primer精讲（每周六更新）》,狗道诗人,C++,[B站](https://www.bilibili.com/video/BV1wV411U7Fe),Doubllllllz,软件工程,扔掉c++ primer（拿去当枕头）看这个吧,2021-02-08 00:00:00
9,《c++教程从0到1入门…》,,C++,[B站](https://www.bilibili.com/video/BV1et411b73Z),eth.er░,自动化,对新手友好，用画图来解释得清楚，有适量的举例来辅助理解,2021-01-15 00:00:00
10,《C语言基础》,c3程序猿,C语言,[B站](https://space.bilibili.com/19935498),求求大家不要再夸我了,计算机科学与技术,老师讲的非常细致，对于一些常见的题也都有讲，基本上和老师讲的内容与题目接轨，看完会对c语言有很深刻的理解,2021-02-08 00:00:00
11,《C语言教程》,鹏哥,C语言,[B站](https://www.bilibili.com/video/BV1oi4y1g7CF),KnightWJD,计算机网络技术,讲的非常的细致，并且通俗易懂，（一个人学习C语言除了问题没能能教你怎么解决是很痛苦的）,2021-01-16 00:00:00
12,《C语言程序设计精髓》,苏小红,C语言,[网易公开课](https://open.163.com/newview/movie/free?pid=MEEF19UTM&mid=MEEF36JHK#share-mob),吃货阿振,计算机科学与技术,非常的详细，对于许多大一没有基础的学生十分的友好，中间穿插一些实例，不过稍微有点读ppt的感觉，但讲的十分系统详细，这也是我推荐它的理由，然后如果你想十分快速而系统地学完c语言。,2021-01-20 00:00:00
13,《c语言教程》,b站比特鹏哥,C语言,[B站](https://www.bilibili.com/video/BV1oi4y1g7CF),北叶粑粑,软件工程,讲的很细，容易理解,2021-02-08 00:00:00
14,《郝斌C语言自学教程》,郝斌,C语言,[无](https://www.bilibili.com/video/BV1os411h77o),途中奶酪,自动化,这位老师能让当时还在上初二的我，听明白，并且理解计算机的运行原理，写下程序案例。,2021-12-22 11:51:49
15,《零基础学C语言》,马钊,C语言,[中国大学MOOC](https://www.icourse163.org/course/CUG-1001632003),贾黎顿,自动化,零基础C语言启蒙，老师语速不快，讲得通俗易懂，生动形象，详细全面难度过渡地自然流畅，不会出现突然听不懂的情况。,2021-01-16 00:00:00
16,《Visual Studio2019入门教程》,Frank,C语言IDE,[B站](https://www.bilibili.com/video/BV1Xt411g7jT),魂帝HD,汽车服务工程,前微软大佬，讲解通俗易懂，很快就能学会Visual Stdio2019的使用,2021-01-26 00:00:00
17,《基于VS2019的C语言教程》,Frank,C语言入门,[B站](https://www.bilibili.com/video/BV1qE411d7Zx),魂帝HD,汽车服务工程,前微软大佬，讲解通俗易懂，经常举一些生活中的例子,2021-01-26 00:00:00
18,《地理信息系统（GIS）实验》,汤国安,GIS、城乡规划,[中国大学MOOC](http://163.lu/DmPa52),西窗残荷,城乡规划,GIS基础操作,2021-02-08 00:00:00
19,《Hadoop》,黑马程序员,Hadoop,[B站](http://stu.ityxb.com),cola,数据科学与大数据技术,各类课都有跟着学就能会,2021-02-08 00:00:00
20,《JAVA全栈开发》,遇见狂神说,JAVA全栈工程师,[B站](https://www.bilibili.com/read/cv5702420),蓝盖蓝瓶的盖,软件技术,适合零基础小白，快速入门，并且进阶！且有其团队设计的学习网站https://www.kuangstudy.com/，完全免费！相当于免费加入一个培训班！,2021-02-08 00:00:00
21,《Java_Java零基础进阶必备视频教程（适合Java基础，Java入门》,老杜,JAVA编程,[B站](https://www.bilibili.com/video/BV1mE411x7Wt),smastars,软件工程,喜欢车轱辘辗脸 有趣且细节 推荐qwq,2021-02-08 00:00:00
22,《Java零基础教程视频（适合Java 0基础，Java初学入门）》,老杜,JAVA编程,[B站](https://www.bilibili.com/video/BV1Rx411876f),smastars,软件工程,喜欢车轱辘辗脸 有趣且细节 推荐qwq,2021-02-08 00:00:00
23,《Java零基础-从入门到精通》,郑中拓,Java,[B站](https://www.bilibili.com/video/BV1fh411y7R8),Akko,计算机网络技术,老韩YYDS, 
24,《郝斌Java入门》,郝斌,Java,[无](https://www.bilibili.com/video/BV1ps411F7Sn),途中奶酪,自动化,基础不牢地动山摇,2021-12-22 12:01:03
25,《2021全新 JavaScript / JS 零基础权威入学宝典【渡一教育】》,姬成,JavaScript,B站,MOLIY,2021全新 JavaScript / JS 零基础权威入学宝典【渡一教育】,可以说是我在学习前端技术，遇到的最好的一位老师，成哥，有趣生动，且非常容易理解，还有成哥的HTML的课程也很推荐哦。,2021-02-23 00:00:00
26,《PR》,管家课堂崔老师,PR,[B站](https://www.bilibili.com/video/BV1ut411S7j7),化肥,英语,,2021-02-07 00:00:00
27,B站《Python》教程,杨淑娟,Python,B站,冥溟瞑,法学,0基础学Python的好课程,2021-12-18 16:42:01
28,《Python从入门到入土》,Python_子木,Python编程,[B站](https://www.bilibili.com/video/BV1wD4y1o7AS),smastars,软件工程,简单易懂 且有趣 生动形象 qwq,2021-02-08 00:00:00
29,《老男孩Python全栈开发29期全套》,程序员_Egon_爱根老师,Python软件设计,[B站](https://www.bilibili.com/video/BV1QE41147hU),胡思乱想的咸鱼,软件工程,老师讲解系统深入，目前来说是找到的最系统的python课了，同时没有了学院派的束缚，听起来有趣，我已经看到了600多课,2021-02-08 00:00:00
30,《QT入门》,,QT/C++程序设计,[B站](https://www.bilibili.com/video/BV1g4411H78N),丽日枫凪,软件工程,讲的很清楚，而且是对着帮助文档教的，想必大家初次接触这种东西很难会利用帮助文档吧，这份教程也可以用来学习使用帮助文档,2021-02-07 00:00:00
