index,推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
0,_碳十二_,毕导THU,科普,B站,https://space.bilibili.com/254463269,总之很有意思！,2021-01-14 00:00:00
1,_碳十四_,戴建业老师,诗词,B站,https://space.bilibili.com/532741557,打开新世界大门,2021-01-14 00:00:00
2,_氧十六_,芳斯塔芙,生物,B站,https://space.bilibili.com/72270557,真的好看！,2021-01-15 00:00:00
3,碳十二,罗翔说刑法,法律,B站,https://space.bilibili.com/517327498,,2021-01-15 00:00:00
4,inm小顾,智能路障,鲁迅,B站,https://b23.tv/L6oelp,视角独特，引人深思,2021-01-15 00:00:00
5,每天都要努力鸭,宋浩老师官方,高数,B站,https://space.bilibili.com/66607740/?share_source=copy_link&share_medium=iphone&bbid=Z54461512ED27A344361BB01F64234736143&ts=1610755856,数学课很有趣，比较容易接受,2021-01-16 00:00:00
6,荷梓,天真的和感伤的小说家,文学,B站,https://space.bilibili.com/314521322/,讲各种文学作品，视频幽默有趣，从中有很多思考,2020-01-16 00:00:00
7,KnightWJD,思维实验室,文化,B站,https://space.bilibili.com/14583962/,每个视频全程干货，给人的启发很大，并且什么方面的知识都会去科普,2020-01-16 00:00:00
8,墨鱼,Yjango,学习,B站,https://b23.tv/UfjTnz,学习观系列视频作品带你深入了解什么是学习,2020-01-16 00:00:00
9,略略,沈奕斐,爱情/社会学,B站,https://space.bilibili.com/349092963/,从社会学的角度向我们分析两性关系，可以让你在女性，在两性关系，在从爱情到婚姻的整个话题上都有很多的启发，帮助你打开对两性关系的想象,2020-01-16 00:00:00
10,yesi,汤质看本质,,B站,https://www.bilibili.com/video/BV1f4411x7E9,告诉你各类抽象的理论到底在现实里有什么用,2021-01-16 00:00:00
11,弦鱼,学院派Academia,社会学科普,B站,https://space.bilibili.com/96639395,超长，一次爽到，社会学科普向,2021-01-16 00:00:00
12,笨笨就喜欢这样的你,轻松的小希,编程,CSDN,https://blog.csdn.net/qq_38490457/article/details/108281646,Java后端这种知识总结一篇就够,2021-01-17 00:00:00
13,许zy,北京青年x凉子访谈录,采访类,B站,https://space.bilibili.com/496688267/,许多人的访谈，或顺利或坎坷，每次难过的时候看一看都会重新得到力量,2021-01-17 00:00:00
14,,Linvo说宇宙,天文学/量子力学/宇宙学,B站,https://space.bilibili.com/357515451/,天文学&量子力学&宇宙学的基础科普,2021年1月18日14:12:43
15,,乌鸦校尉CaptainWuya,历史,B站,https://space.bilibili.com/521249172/,基于事实和档案重新解构近现代中国历史,2021年1月18日14:16:42
16,,文曰小强,科普,B站,https://space.bilibili.com/19456751/,"科普类小说导读
带你感受工业文学之美",2021年1月18日14:20:21
17,,幻海航行,科普,B站,https://space.bilibili.com/193147738,,2021年1月18日14:20:21
